work_id,work_type,year,n_amendment_operations,n_history_witnesses,operation_families,latest_version_id
act_public_1967_159,act_public,2017,5,5,repealed:5,act_public_1967_159_en_2017-06-03
act_public_1967_23,act_public,2007,1,1,repealed:1,act_public_1967_23_en_2007-09-03B
act_public_1967_35,act_public,2021,115,115,amended:80;brought into force:1;inserted:17;repealed:5;replaced:12,act_public_1967_35_en_2021-10-28
act_public_1967_38,act_public,2007,75,75,__unclassified__:2;amended:35;inserted:5;repealed:19;replaced:1;substituted:13,act_public_1967_38_en_2007-09-20
act_public_1967_45,act_public,2014,34,34,amended:30;inserted:1;repealed:3,act_public_1967_45_en_2014-12-01
act_public_1967_54,act_public,2009,185,185,__missing__:1;__unclassified__:1;amended:80;inserted:30;repealed:10;substituted:63,act_public_1967_54_en_2009-11-24
act_public_1968_127,act_public,2007,1,1,repealed:1,act_public_1968_127_en_2007-09-03
act_public_1968_130,act_public,1988,2,2,repealed:2,act_public_1968_130_en_1988-06-29
act_public_1968_131,act_public,2003,1,1,repealed:1,act_public_1968_131_en_2003-07-01
act_public_1968_132,act_public,2007,117,117,amended:3;repealed:114,act_public_1968_132_en_2007-09-20
act_public_1968_147,act_public,2023,183,183,__missing__:2;__unclassified__:1;added:2;amended:152;inserted:13;repealed:6;replaced:2;substituted:5,act_public_1968_147_en_2023-12-23
act_public_1968_35,act_public,2021,271,271,__unclassified__:1;amended:86;inserted:40;repealed:123;replaced:21,act_public_1968_35_en_2021-10-28
act_public_1968_36,act_public,2021,85,85,added:2;amended:42;editorial change:4;inserted:22;repealed:11;substituted:4,act_public_1968_36_en_2021-10-28
act_public_1968_42,act_public,2007,2,2,repealed:2,act_public_1968_42_en_2007-09-03
act_public_1968_54,act_public,2017,4,4,amended:1;repealed:3,act_public_1968_54_en_2017-06-03
act_public_1969_127,act_public,2009,11,11,repealed:11,act_public_1969_127_en_2009-08-05
act_public_1969_131,act_public,2019,4,4,repealed:4,act_public_1969_131_en_2019-03-17
act_public_1969_132,act_public,2017,3,3,amended:1;repealed:2,act_public_1969_132_en_2017-06-03
act_public_1969_138,act_public,2026,41,41,amended:20;inserted:10;repealed:4;replaced:3;substituted:4,act_public_1969_138_en_2026-01-01
act_public_1969_139,act_public,2021,38,38,amended:21;inserted:2;repealed:5;replaced:1;substituted:9,act_public_1969_139_en_2021-10-28
act_public_1969_140,act_public,1998,1,1,repealed:1,act_public_1969_140_en_1998-10-08
