statute_id,act_type,year,n_effects,n_enacted_eids,n_oracle_eids,n_common,score,status,error
asp/2024/9,asp,2024,1,211,150,118,0.5592,OK,
asp/2025/1,asp,2025,1,86,123,86,0.6992,OK,
asp/2025/10,asp,2025,2,431,250,229,0.5313,OK,
asp/2025/11,asp,2025,6,1200,1201,1095,0.9117,OK,
asp/2025/12,asp,2025,5,1510,95,79,0.0523,OK,
asp/2025/13,asp,2025,4,891,219,122,0.1369,OK,
asp/2025/14,asp,2025,2,558,325,289,0.5179,OK,
asp/2025/15,asp,2025,5,1611,75,73,0.0453,OK,
asp/2025/2,asp,2025,1,227,83,82,0.3612,OK,
asp/2025/3,asp,2025,2,742,23,23,0.0310,OK,
asp/2025/4,asp,2025,5,729,812,699,0.8608,OK,
asp/2025/5,asp,2025,1,134,84,78,0.5821,OK,
asp/2025/6,asp,2025,1,91,98,91,0.9286,OK,
asp/2025/7,asp,2025,1,64,65,64,0.9846,OK,
asp/2025/8,asp,2025,7,2615,67,27,0.0103,OK,
asp/2025/9,asp,2025,2,370,182,138,0.3730,OK,
asp/2026/1,asp,2026,1,18,18,18,1.0000,OK,
asp/2026/2,asp,2026,1,86,17,17,0.1977,OK,
asp/2026/3,asp,2026,1,28,22,22,0.7857,OK,
asp/2026/4,asp,2026,1,536,709,536,0.7560,OK,
asp/2026/5,asp,2026,1,221,255,221,0.8667,OK,
asp/2026/6,asp,2026,1,468,583,468,0.8027,OK,
